"id","source","coin","satoshis","wei","usdt","timestamp"
497,0,"EXP",32855,,,1508341304.15101
498,0,"STRAT",59172,,,1508341304.15101
499,0,"VTC",29744,,,1508341304.15101
500,0,"DCR",497494,,,1508341304.15101
501,0,"NEOS",42544,,,1508341304.15101
502,0,"PPC",20726,,,1508341304.15101
503,0,"VIA",19970,,,1508341304.15101
504,0,"STEEM",20117,,,1508341304.15101
505,0,"BCY",4900,,,1508341304.15101
506,0,"SBD",18097,,,1508341304.15101
507,0,"GNO",1521047,,,1508341304.15101
508,0,"DOGE",19,,,1508341304.15101
509,0,"PINK",383,,,1508341304.15101
510,0,"RIC",743,,,1508341304.15101
511,0,"BLK",3158,,,1508341304.15101
512,0,"SYS",3499,,,1508341304.15101
513,0,"SJCX",8253,,,1508341304.15101
514,0,"HUC",1262,,,1508341304.15101
515,0,"LSK",91538,,,1508341304.15101
516,0,"CVC",5893,,,1508341304.15101
517,0,"RADS",67661,,,1508341304.15101
518,0,"SC",78,,,1508341304.15101
519,0,"FCT",305477,,,1508341304.15101
520,0,"ZRX",3938,,,1508341304.15101
521,0,"STR",705,,,1508341304.15101
522,0,"XBC",830240,,,1508341304.15101
523,0,"NOTE",697,,,1508341304.15101
524,0,"NXC",4535,,,1508341304.15101
525,0,"BCH",6011094,,,1508341304.15101
526,0,"XVC",4187,,,1508341304.15101
527,0,"GAME",35936,,,1508341304.15101
528,0,"ZEC",4174041,,,1508341304.15101
529,0,"XEM",4050,,,1508341304.15101
530,0,"XMR",1662088,,,1508341304.15101
531,0,"EMC2",1615,,,1508341304.15101
532,0,"REP",340000,,,1508341304.15101
533,0,"POT",1283,,,1508341304.15101
534,0,"NMC",20758,,,1508341304.15101
535,0,"FLDC",158,,,1508341304.15101
536,0,"BCN",25,,,1508341304.15101
537,0,"FLO",1248,,,1508341304.15101
538,0,"XPM",1950,,,1508341304.15101
539,0,"BELA",1825,,,1508341304.15101
540,0,"GAS",384836,,,1508341304.15101
541,0,"CLAM",72912,,,1508341304.15101
542,0,"OMG",149550,,,1508341304.15101
543,0,"LBC",3100,,,1508341304.15101
544,0,"PASC",4632,,,1508341304.15101
545,0,"GNT",3918,,,1508341304.15101
546,0,"OMNI",410052,,,1508341304.15101
547,0,"BURST",120,,,1508341304.15101
548,0,"VRC",5781,,,1508341304.15101
549,0,"GRC",602,,,1508341304.15101
550,0,"BTCD",1533000,,,1508341304.15101
551,0,"NAUT",1870,,,1508341304.15101
552,0,"ETC",208203,,,1508341304.15101
553,0,"BTS",1048,,,1508341304.15101
554,0,"DASH",5372877,,,1508341304.15101
555,0,"NAV",18808,,,1508341304.15101
556,0,"ARDR",4249,,,1508341304.15101
557,0,"LTC",1054399,,,1508341304.15101
558,0,"XCP",153092,,,1508341304.15101
559,0,"DGB",194,,,1508341304.15101
560,0,"AMP",2314,,,1508341304.15101
561,0,"BTC",100000000,,5221.0000001,1508341364.71014
562,0,"ETH",5709999,100000000,299.33,1508341364.71014
563,0,"NXT",1203,,,1508341364.71014
564,0,"BTM",8394,,,1508341364.71014
565,0,"MAID",7188,,,1508341364.71014
566,0,"XRP",4150,,,1508341364.71014
567,0,"EXP",32855,,,1508341364.71014
568,0,"STRAT",59172,,,1508341364.71014
569,0,"VTC",29747,,,1508341364.71014
570,0,"DCR",497494,,,1508341364.71014
571,0,"NEOS",42544,,,1508341364.71014
572,0,"PPC",20726,,,1508341364.71014
573,0,"VIA",19970,,,1508341364.71014
574,0,"STEEM",20026,,,1508341364.71014
575,0,"BCY",4900,,,1508341364.71014
576,0,"SBD",18097,,,1508341364.71014
577,0,"GNO",1521047,,,1508341364.71014
578,0,"DOGE",19,,,1508341364.71014
579,0,"PINK",382,,,1508341364.71014
580,0,"RIC",743,,,1508341364.71014
581,0,"BLK",3158,,,1508341364.71014
582,0,"SYS",3499,,,1508341364.71014
583,0,"SJCX",8253,,,1508341364.71014
584,0,"HUC",1272,,,1508341364.71014
585,0,"LSK",91538,,,1508341364.71014
586,0,"CVC",5893,,,1508341364.71014
587,0,"RADS",67200,,,1508341364.71014
588,0,"SC",77,,,1508341364.71014
589,0,"FCT",305477,,,1508341364.71014
590,0,"ZRX",3938,,,1508341364.71014
591,0,"STR",698,,,1508341364.71014
592,0,"XBC",830240,,,1508341364.71014
593,0,"NOTE",697,,,1508341364.71014
594,0,"NXC",4535,,,1508341364.71014
595,0,"BCH",6009708,,,1508341364.71014
596,0,"XVC",4187,,,1508341364.71014
597,0,"GAME",35936,,,1508341364.71014
598,0,"ZEC",4174079,,,1508341364.71014
599,0,"XEM",4020,,,1508341364.71014
600,0,"XMR",1662112,,,1508341364.71014
601,0,"EMC2",1615,,,1508341364.71014
602,0,"REP",340000,,,1508341364.71014
603,0,"POT",1283,,,1508341364.71014
